System Code,System Name,Reading Status^ Number Tested,Reading Status^ % Below Grade Level (Lexile < 1010L),Reading Status^ % Grade Level  or Above (Lexile ≥ 1010L),English Language Arts Number Tested,English Language Arts Mean Scale Score,English Language Arts Standard Deviation,English Language Arts % Beginning Learner,English Language Arts % Developing Learner,English Language Arts % Proficient Learner,English Language Arts % Distinguished Learner,English Language Arts % Developing Learner & Above,English Language Arts % Proficient Learner & Above,SGP English Language Arts Number Received SGP,SGP English Language Arts SGP Median,SGP English Language Arts % SGP Low Growth,SGP English Language Arts % SGP Typical Growth,SGP English Language Arts % SGP High Growth,Mathematics Number Tested,Mathematics Mean Scale Score,Mathematics Standard Deviation,Mathematics % Beginning Learner,Mathematics % Developing Learner,Mathematics % Proficient Learner,Mathematics % Distinguished Learner,Mathematics % Developing Learner & Above,Mathematics % Proficient Learner & Above,SGP Mathematics Number Received SGP,SGP Mathematics SGP Median,SGP Mathematics % SGP Low Growth,SGP Mathematics % SGP Low Growth.1,SGP Mathematics % SGP Low Growth.2,Science Number Tested,Science Mean Scale Score,Science Standard Deviation,Science % Beginning Learner,Science % Developing Learner,Science % Proficient Learner,Science % Distinguished Learner,Science % Developing Learner & Above,Science % Proficient Learner & Above,HS Physical Science Number Tested,HS Physical Science Mean Scale Score,HS Physical Science Standard Deviation,HS Physical Science % Beginning Learner,HS Physical Science % Developing Learner,HS Physical Science % Proficient Learner,HS Physical Science % Distinguished Learner,HS Physical Science % Developing Learner & Above,HS Physical Science % Proficient Learner & Above,Social Studies Number Tested,Social Studies Mean Scale Score,Social Studies Standard Deviation,Social Studies % Beginning Learner,Social Studies % Developing Learner,Social Studies % Proficient Learner,Social Studies % Distinguished Learner,Social Studies % Developing Learner & Above,Social Studies % Proficient Learner & Above,RESA  RESAName_RPT
626,CHATTAHOOCHEE COUNTY,74.0,13.513513513513514,86.48648648648648,74.0,524.0945945945946,39.51388482127531,9.45945945945946,40.54054054054054,41.891891891891895,8.108108108108109,90.54054054054055,50,59.0,47,27.11864406779661,40.67796610169491,32.20338983050848,,,,,,,,,,,,,,,,,,,,,,,,75,505.70666666666665,58.31317438029167,32,28,33.333333333333336,6.666666666666667,68,40,75.0,508.38666666666666,39.66341269112263,18.666666666666668,44,32,5.333333333333333,81.33333333333333,37.333333333333336,CHATTAHOOCHEE-FLINT
627,CHATTOOGA COUNTY,195.0,38.46153846153846,61.53846153846154,195.0,504.0769230769231,47.00108828274186,25.641025641025642,44.1025641025641,24.615384615384617,5.641025641025641,74.35897435897436,30.256410256410255,185.0,49,37.83783783783784,28.10810810810811,34.054054054054056,,,,,,,,,,,,,,,195,473.8666666666667,56.25725764557569,58.46153846153846,23.58974358974359,13.846153846153847,4.102564102564102,41.53846153846154,17.94871794871795,,,,,,,,,,195.0,487.3282051282051,37.383564589281804,42.05128205128205,37.43589743589744,20,0.5128205128205128,57.94871794871795,20.512820512820515,NORTHWEST GEORGIA
628,CHEROKEE COUNTY,3052.0,24.934469200524248,75.06553079947575,3052.0,522.5629095674967,52.0493579925937,18.2175622542595,31.749672346002622,36.20576671035386,13.82699868938401,81.7824377457405,50.032765399737876,2903.0,46,37.03065794006201,31.24354116431278,31.725800895625216,,,,,,,,,,,,,,,2355,496.30063694267517,59.358733828032356,39.91507430997877,28.195329087048833,25.902335456475583,5.987261146496815,60.08492569002123,31.8895966029724,696,586.7543103448276,57.8391342347039,1.0057471264367817,10.201149425287356,54.59770114942529,34.195402298850574,98.99425287356321,88.79310344827586,3048.0,521.2880577427821,49.95577001799224,18.635170603674542,33.628608923884514,32.44750656167979,15.288713910761155,81.36482939632546,47.73622047244095,NORTH GEORGIA
629,CLARKE COUNTY,808.0,38.118811881188115,61.881188118811885,808.0,503.31435643564356,55.093253752187366,32.7970297029703,32.301980198019805,25.247524752475247,9.653465346534654,67.20297029702971,34.9009900990099,747.0,57,27.309236947791163,32.663989290495316,40.02677376171352,,,,,,,,,,,,,,,1,,,,,,,,,796,466.88819095477385,62.27970028763951,63.31658291457286,19.34673366834171,14.07035175879397,3.2663316582914574,36.68341708542714,17.33668341708543,799.0,494.2327909887359,47.62655875498699,39.799749687108886,32.66583229036296,21.401752190237797,6.132665832290363,60.200250312891114,27.53441802252816,NORTHEAST GEORGIA
630,CLAY COUNTY,15.0,33.333333333333336,66.66666666666667,15.0,502.4,37.29955955312532,33.333333333333336,33.333333333333336,33.333333333333336,0,66.66666666666667,33.333333333333336,13.0,,,,,,,,,,,,,,,,,,,15,480.6666666666667,51.00233421362296,46.666666666666664,26.666666666666668,26.666666666666668,0,53.333333333333336,26.666666666666668,,,,,,,,,,15.0,482.4,39.11667528962917,46.666666666666664,33.333333333333336,20,0,53.333333333333336,20,CHATTAHOOCHEE-FLINT
631,CLAYTON COUNTY,3889.0,41.99022885060427,58.00977114939573,3889.0,498.5122139367447,50.95256627228892,33.401902802777066,36.46181537670352,23.990743121625098,6.145538698894318,66.59809719722294,30.136281820519415,3591.0,52,31.968810916179336,32.330827067669176,35.70036201615149,,,,,,,,,,,,,,,3335,467.456071964018,51.217918147216345,61.67916041979011,24.7976011994003,11.304347826086957,2.2188905547226385,38.32083958020989,13.523238380809595,552,515.9583333333334,73.83259675930823,32.608695652173914,27.355072463768117,27.536231884057973,12.5,67.3913043478261,40.03623188405797,3883.0,488.2621684264744,43.384378584197826,43.754828740664436,36.90445531805305,15.142930723667268,4.197785217615246,56.245171259335564,19.340715941282514,METRO
632,CLINCH COUNTY,106.0,28.30188679245283,71.69811320754717,106.0,507.24528301886795,42.76776964485437,22.641509433962263,43.39622641509434,32.075471698113205,1.8867924528301887,77.35849056603773,33.9622641509434,98.0,37,47.95918367346939,28.571428571428573,23.46938775510204,,,,,,,,,,,,,,,106,487.7641509433962,53.12546728297212,52.83018867924528,24.528301886792452,16.9811320754717,5.660377358490566,47.16981132075472,22.641509433962263,,,,,,,,,,106.0,492.52830188679246,38.5874905826992,35.84905660377358,44.339622641509436,15.09433962264151,4.716981132075472,64.15094339622641,19.81132075471698,OKEFENOKEE
633,COBB COUNTY,7999.0,19.727465933241657,80.27253406675834,7999.0,530.6882110263783,54.57221895394967,14.289286160770097,30.591323915489436,36.704588073509186,18.414801850231278,85.71071383922991,55.11938992374047,7422.0,49,35.65076798706548,30.665588790083536,33.68364322285098,,,,,,,,,,,,,,,5587,494.34007517451226,57.58162664138774,40.59423662072669,29.908716663683553,24.753892965813495,4.743153749776266,59.40576337927331,29.49704671558976,2395,569.7022964509395,61.6950985644009,5.34446764091858,17.32776617954071,50.9812108559499,26.346555323590813,94.65553235908142,77.3277661795407,7955.0,518.9499685732244,49.579851660304676,19.924575738529228,33.702074167190446,32.721558768070395,13.651791326209931,80.07542426147077,46.373350094280326,METRO
634,COFFEE COUNTY,492.0,36.38211382113821,63.61788617886179,492.0,506.75,47.450740885581894,25.203252032520325,40.447154471544714,26.829268292682926,7.520325203252033,74.79674796747967,34.34959349593496,466.0,50,34.33476394849785,33.047210300429185,32.61802575107296,,,,,,,,,,,,,,,492,500.2987804878049,64.61975698189973,42.073170731707314,23.983739837398375,23.983739837398375,9.959349593495935,57.926829268292686,33.94308943089431,,,,,,,,,,491.0,500.1201629327902,40.348226837780516,29.735234215885946,39.91853360488798,26.069246435845216,4.276985743380855,70.26476578411405,30.34623217922607,OKEFENOKEE
635,COLQUITT COUNTY,703.0,33.99715504978663,66.00284495021337,703.0,503.69701280227594,45.02219243414025,25.604551920341393,40.6827880512091,29.018492176386914,4.694167852062589,74.3954480796586,33.712660028449505,661.0,51,33.73676248108926,33.13161875945537,33.13161875945537,,,,,,,,,,,,,,,638,479.935736677116,53.633215141467396,51.09717868338558,27.74294670846395,18.495297805642632,2.664576802507837,48.90282131661442,21.15987460815047,64,541.640625,50.46336630948945,6.25,32.8125,50,10.9375,93.75,60.9375,697.0,497.1649928263989,45.40165615847534,37.87661406025825,32.42467718794835,23.959827833572454,5.738880918220947,62.12338593974175,29.6987087517934,COASTAL PLAINS
