System Code,System Name,Reading Status^ Number Tested,Reading Status^ % Below Grade Level (Lexile < 925L),Reading Status^ % Grade Level  or Above (Lexile ≥ 925L),English Language Arts Number Tested,English Language Arts Mean Scale Score,English Language Arts Standard Deviation,English Language Arts % Beginning Learner,English Language Arts % Developing Learner,English Language Arts % Proficient Learner,English Language Arts % Distinguished Learner,English Language Arts % Developing Learner & Above,English Language Arts % Proficient Learner & Above,SGP English Language Arts Number Received SGP,SGP English Language Arts SGP Median,SGP English Language Arts % SGP Low Growth,SGP English Language Arts % SGP Typical Growth,SGP English Language Arts % SGP High Growth,Mathematics Number Tested,Mathematics Mean Scale Score,Mathematics Standard Deviation,Mathematics % Beginning Learner,Mathematics % Developing Learner,Mathematics % Proficient Learner,Mathematics % Distinguished Learner,Mathematics % Developing Learner & Above,Mathematics % Proficient Learner & Above,SGP Mathematics Number Received SGP,SGP Mathematics SGP Median,SGP Mathematics % SGP Low Growth,SGP Mathematics % SGP Low Growth.1,SGP Mathematics % SGP Low Growth.2
688,LEE COUNTY,444.0,33.333333333333336,66.66666666666667,444.0,518.8468468468468,58.179522620400256,21.396396396396398,33.108108108108105,37.83783783783784,7.657657657657658,78.6036036036036,45.4954954954955,415.0,43,39.27710843373494,33.493975903614455,27.228915662650603,,,,,,,,,,,,,,
689,LIBERTY COUNTY,756.0,53.3068783068783,46.6931216931217,756.0,488.2142857142857,67.57846835384794,41.93121693121693,28.04232804232804,24.867724867724867,5.158730158730159,58.06878306878307,30.026455026455025,665.0,36,48.27067669172932,28.571428571428573,23.157894736842106,,,,,,,,,,,,,,
690,LINCOLN COUNTY,98.0,40.816326530612244,59.183673469387756,98.0,509.734693877551,52.80396560795358,29.591836734693878,29.591836734693878,36.734693877551024,4.081632653061225,70.40816326530613,40.816326530612244,97.0,51,32.98969072164948,37.11340206185567,29.896907216494846,,,,,,,,,,,,,,
691,LONG COUNTY,313.0,52.3961661341853,47.6038338658147,313.0,486.6325878594249,55.514976831269514,40.894568690095845,31.94888178913738,24.920127795527158,2.236421725239617,59.105431309904155,27.156549520766774,271.0,43,42.80442804428044,27.30627306273063,29.88929889298893,,,,,,,,,,,,,,
692,LOWNDES COUNTY,764.0,28.534031413612567,71.46596858638743,764.0,527.6570680628272,59.53394960645332,17.408376963350786,30.6282722513089,39.26701570680628,12.696335078534032,82.59162303664921,51.96335078534032,713.0,51,35.06311360448808,30.014025245441797,34.922861150070126,,,,,,,,,,,,,,
693,LUMPKIN COUNTY,302.0,47.35099337748344,52.64900662251656,302.0,500.8476821192053,59.13470723070112,35.09933774834437,33.443708609271525,24.503311258278146,6.953642384105961,64.90066225165563,31.456953642384107,295.0,28,58.983050847457626,25.423728813559322,15.59322033898305,,,,,,,,,,,,,,
694,MACON COUNTY,72.0,69.44444444444444,30.555555555555557,72.0,469.31944444444446,57.32654828013963,54.166666666666664,29.166666666666668,15.277777777777779,1.3888888888888888,45.833333333333336,16.666666666666668,65.0,48,36.92307692307692,23.076923076923077,40,,,,,,,,,,,,,,
695,MADISON COUNTY,382.0,48.69109947643979,51.30890052356021,382.0,500.5235602094241,60.7662637780073,34.29319371727749,31.93717277486911,28.01047120418848,5.7591623036649215,65.70680628272251,33.769633507853406,376.0,27,59.840425531914896,23.93617021276596,16.22340425531915,,,,,,,,,,,,,,
696,MARION COUNTY,97.0,56.70103092783505,43.29896907216495,97.0,482.5154639175258,64.21466495962032,42.2680412371134,36.08247422680412,17.52577319587629,4.123711340206185,57.7319587628866,21.649484536082475,90.0,55.5,32.22222222222222,31.11111111111111,36.666666666666664,,,,,,,,,,,,,,
697,MCDUFFIE COUNTY,221.0,52.036199095022624,47.963800904977376,221.0,489.6877828054299,58.03821065053822,41.1764705882353,27.149321266968325,29.41176470588235,2.262443438914027,58.8235294117647,31.67420814479638,198.0,48,37.37373737373738,33.333333333333336,29.292929292929294,,,,,,,,,,,,,,
698,MCINTOSH COUNTY,98.0,40.816326530612244,59.183673469387756,98.0,499.7551020408163,58.51249954126723,29.591836734693878,30.612244897959183,37.755102040816325,2.0408163265306123,70.40816326530613,39.795918367346935,90.0,50.5,33.333333333333336,31.11111111111111,35.55555555555556,,,,,,,,,,,,,,
699,MERIWETHER COUNTY,169.0,55.62130177514793,44.37869822485207,169.0,477.9704142011834,57.45489183403577,47.337278106508876,31.36094674556213,17.75147928994083,3.5502958579881656,52.662721893491124,21.301775147928993,164.0,50,28.658536585365855,35.97560975609756,35.36585365853659,,,,,,,,,,,,,,
700,MILLER COUNTY,54.0,51.851851851851855,48.148148148148145,54.0,494.7037037037037,58.33560342992257,38.888888888888886,29.62962962962963,27.77777777777778,3.7037037037037037,61.111111111111114,31.48148148148148,52.0,41,42.30769230769231,30.76923076923077,26.923076923076923,,,,,,,,,,,,,,
701,MITCHELL COUNTY,87.0,60.91954022988506,39.08045977011494,87.0,483.91954022988506,47.57031964801226,36.7816091954023,43.67816091954023,19.54022988505747,0,63.2183908045977,19.54022988505747,83.0,51,28.91566265060241,39.75903614457831,31.325301204819276,,,,,,,,,,,,,,
702,MONROE COUNTY,343.0,27.113702623906704,72.8862973760933,343.0,531.8221574344024,59.209464422533145,16.61807580174927,29.154518950437318,41.10787172011662,13.119533527696793,83.38192419825073,54.22740524781341,334.0,60,23.652694610778443,33.83233532934132,42.51497005988024,,,,,,,,,,,,,,
703,MONTGOMERY COUNTY,60.0,48.333333333333336,51.666666666666664,60.0,492.6,60.898414997046864,40,35,18.333333333333332,6.666666666666667,60,25,56.0,46,32.142857142857146,42.857142857142854,25,,,,,,,,,,,,,,
704,MORGAN COUNTY,249.0,35.7429718875502,64.2570281124498,249.0,516.1244979919679,54.907809119169286,22.48995983935743,31.72690763052209,40.16064257028113,5.622489959839357,77.51004016064257,45.78313253012048,240.0,43,37.083333333333336,36.666666666666664,26.25,,,,,,,,,,,,,,
705,MURRAY COUNTY,466.0,39.91416309012875,60.08583690987125,466.0,509.568669527897,58.48989072793536,26.609442060085836,31.974248927038627,34.33476394849785,7.081545064377682,73.39055793991416,41.41630901287554,453.0,62,22.29580573951435,31.788079470198674,45.916114790286976,,,,,,,,,,,,,,
706,MUSCOGEE COUNTY,2181.0,53.04906006419074,46.95093993580926,2181.0,485.92342961944064,63.81047127532526,44.016506189821186,28.289775332416323,23.108665749656122,4.5850527281063735,55.983493810178814,27.693718477762495,1981.0,43,40.28268551236749,33.36698637051994,26.350328117112568,,,,,,,,,,,,,,
707,NEWTON COUNTY,1318.0,54.55235204855842,45.44764795144158,1318.0,485.10773899848255,59.97620827372381,43.55083459787557,29.81790591805766,23.292867981790593,3.338391502276176,56.44916540212443,26.631259484066767,1229.0,46,38.81204231082181,30.838079739625712,30.349877949552482,,,,,,,,,,,,,,
